dep,lib_commune,num_panneau,nom_liste,ordre,commune_norm,cod_insee,lib_ref,score_fuzzy,pop_2023,methode,tete_liste
59,Abscon,1,AGIR POUR LES ABSCONNAIS,1,abscon,59002,Abscon,100,4108,exact,Eric GRANATO
59,Abscon,2,OSONS L'ENTENTE MUNICIPALE,1,abscon,59002,Abscon,100,4108,exact,Jean-Michel FOURMAUX
59,Annoeullin,1,Rassemblons Annoeullin,1,annoeullin,59011,Annœullin,100,10847,exact,Quentin BLONDEAU
59,Annoeullin,3,Annoeullin au coeur avec Sébastien Leroy,1,annoeullin,59011,Annœullin,100,10847,exact,Sebastien LEROY
59,Annoeullin,4,AGIR POUR ANNOEULLIN,1,annoeullin,59011,Annœullin,100,10847,exact,Thierry SPILLEBOUT
59,Armentières,1,"UNE AUTRE ARMENTIERES, UNIE ET SOLIDAIRE",1,armentieres,59017,Armentières,100,26998,exact,Maxime MOULIN
59,Armentières,2,"UN NOUVEL ELAN, DANS LE CŒUR ET DANS L'ACTION",1,armentieres,59017,Armentières,100,26998,exact,Jean-Michel MONPAYS
59,Armentières,3,L'URGENCE D'AGIR POUR ARMENTIERES,1,armentieres,59017,Armentières,100,26998,exact,Michel PLOUY
59,Aubigny-au-Bac,1,ENSEMBLE POUR NOTRE AVENIR,1,aubigny au bac,59026,Aubigny-au-Bac,100,1143,exact,Mathieu PLANTIN
59,Aubigny-au-Bac,2,UNE NOUVELLE ENERGIE POUR AUBIGNY,1,aubigny au bac,59026,Aubigny-au-Bac,100,1143,exact,Henri DERASSE
59,Aubigny-au-Bac,3,CONTINUONS ENSEMBLE POUR AUBIGNY-AU-BAC,1,aubigny au bac,59026,Aubigny-au-Bac,100,1143,exact,Joseph ANSART
59,Auby,2,DE L'AMBITION POUR AUBY,1,auby,59028,Auby,100,7083,exact,Freddy KACZMAREK
59,Auby,3,AUBY UN AVENIR EN COMMUN,1,auby,59028,Auby,100,7083,exact,Bernard CZECH
59,Auby,4,PROCHE DE VOUS,1,auby,59028,Auby,100,7083,exact,Anne-Sophie TASZAREK
59,Berlaimont,1,"Berlaimont 2026, redynamisons notre ville",1,berlaimont,59068,Berlaimont,100,3159,exact,Christophe SCULFORT
59,Berlaimont,3,Agir pour Berlaimont,1,berlaimont,59068,Berlaimont,100,3159,exact,Sebastien BOUCHEZ
59,Bouchain,2,"Ensemble, continuons pour Bouchain",1,bouchain,59092,Bouchain,100,4113,exact,Ludovic ZIENTEK
59,Bouchain,4,BOUCHAIN DYNAMIQUE ET SEREIN,1,bouchain,59092,Bouchain,100,4113,exact,Luc BROUTA
59,Bourbourg,2,Bourbourg une passion commune avec Éric Gens,1,bourbourg,59094,Bourbourg,100,6931,exact,Eric GENS
59,Bourbourg,3,bourbourg au coeur,1,bourbourg,59094,Bourbourg,100,6931,exact,Antoine CONTRANT
59,Boussois,1,BOUSSOIS ENSEMBLE BATISSONS NOTRE AVENIR,1,boussois,59104,Boussois,100,3123,exact,Evelyne CROIX
59,Boussois,2,"POUR BOUSSOIS, VOTRE VILLE",1,boussois,59104,Boussois,100,3123,exact,Didier CORBEAUX
59,Bray-Dunes,2,Ensemble pour Bray-Dunes,1,bray dunes,59107,Bray-Dunes,100,4189,exact,Élodie GARREAU VANHILLE
59,Bray-Dunes,3,Bray-Dunes Avec Vous,1,bray dunes,59107,Bray-Dunes,100,4189,exact,Grégory EVRARD
59,Brunémont,1,AGIR POUR BRUNEMONT,1,brunemont,59115,Brunémont,100,704,exact,Eric LEMETTRE
59,Brunémont,2,"BRUNEMONT NOTRE VILLAGE, NOTRE AVENIR",1,brunemont,59115,Brunémont,100,704,exact,Jonathan LOGEON
59,Brunémont,3,"Ensemble, agissons pour l'avenir de Brunémont",1,brunemont,59115,Brunémont,100,704,exact,Clément LOCQUET
59,Busigny,1,OXYGENE,1,busigny,59118,Busigny,100,2435,exact,Christophe LEBRUN
59,Busigny,2,UN NOUVEAU SOUFFLE POUR BUSIGNY,1,busigny,59118,Busigny,100,2435,exact,Christian PECQUEUX
59,Cambrai,1,UNION POUR CAMBRAI,1,cambrai,59122,Cambrai,100,31134,exact,Nicolas SIEGLER
59,Cambrai,2,"Ensemble, un nouvel élan pour Cambrai",1,cambrai,59122,Cambrai,100,31134,exact,Stéphane MAURICE
59,Cambrai,3,"CAMBRAI, LA NOUVELLE ÉNERGIE",1,cambrai,59122,Cambrai,100,31134,exact,Emeric FRANÇOIS
59,Comines,2,AGIR ENSEMBLE POUR COMINES,1,comines,59152,Comines,100,12731,exact,Grégory TEMPREMANT
59,Comines,3,COMINES AVEC PASSION,1,comines,59152,Comines,100,12731,exact,Alexis HOUSET
59,Condé-sur-l'Escaut,1,Condé avec élan et ambition,1,conde sur l escaut,59153,Condé-sur-l'Escaut,100,9253,exact,Gregory LELONG
59,Condé-sur-l'Escaut,3,ENSEMBLE ET AUTREMENT POUR CONDÉ,1,conde sur l escaut,59153,Condé-sur-l'Escaut,100,9253,exact,Joël BOIS
59,Condé-sur-l'Escaut,4,TOUS POUR CONDE SUR L'ESCAUT,1,conde sur l escaut,59153,Condé-sur-l'Escaut,100,9253,exact,Carole MILLET-VÉZILIER
59,Croix,1,L'UNION POUR CROIX,1,croix,59163,Croix,100,20566,exact,Valentine VERCAMER
59,Croix,2,ENSEMBLE POUR L'AVENIR DE CROIX,1,croix,59163,Croix,100,20566,exact,Regis CAUCHE
59,Croix,3,Ensemble pour Croix 2026,1,croix,59163,Croix,100,20566,exact,Jean Maximilien SOBOCINSKI
59,Croix,4,CROIX INSOUMISE ET CITOYENS,1,croix,59163,Croix,100,20566,exact,Sophie PECQUEUR
59,Douai,3,"Ensemble, Douai redevient Géante !",1,douai,59178,Douai,100,40250,exact,Coline CRAEYE
59,Douai,5,Unis Pour Douai,1,douai,59178,Douai,100,40250,exact,Thierry TESSON
59,Douai,8,DOUAI TOUJOURS !,1,douai,59178,Douai,100,40250,exact,Frédéric CHÉREAU
59,Douchy-les-Mines,1,À VOS CÔTÉS,1,douchy les mines,59179,Douchy-les-Mines,100,10109,exact,Romain MERVILLE
59,Douchy-les-Mines,2,"POUR DOUCHY FIÈRE, UNIE ET SOLIDAIRE",1,douchy les mines,59179,Douchy-les-Mines,100,10109,exact,Michel LEFEBVRE
